Serial,Event,Code_County,County,Code_District,District,Code_Division,Division,Date_YMD,Cause,Description_of_Cause,Source,Magnitude,GLIDEnumber,Other_sectors,DataCards,Deaths,Injured,Missing,Houses_Destroyed,Houses_Damaged,Victims,Affected,Relocated,Evacuated,Losses_$USD,Losses_$Local,Education_centers,Hospitals,Damages_in_crops_Ha,Lost_Cattle,OBJECTID
Serial,Event,Code County,County,Code District,District,Code Division,Division,Date (YMD),Cause,Description of Cause,Source,Magnitude,GLIDEnumber,Other sectors,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,0
11,TRAFFIC ACCIDENT,13,KIAMBU,1301,KIAMBU,130104,LARI,11/09/2011 08:00:00 AM +0000,Error,Pedestrian crossing road,KPR,,,car damaged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300106,MAKADARA,01/01/2011 08:00:00 AM +0000,,Hit and run,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
35,TRAFFIC ACCIDENT,12,KERICHO,1203,BURET,120303,KONOIN,01/01/2011 08:00:00 AM +0000,Other cause,Driver lost control of the vehicle.,KPR,,,The motor vehicle front bumper and windscreen were damaged. ,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20,TRAFFIC ACCIDENT,23,MAKUENI,2305,MAKUENI,230504,KASIKEU,01/30/2011 08:00:00 AM +0000,Negligence,Recklessness,,,,Minivan and Leyland lorry damaged,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
36,TRAFFIC ACCIDENT,20,LAIKIPIA,2008,LAIKIPIA WEST,200801,CENTRAL LAIKIPIA,01/01/2011 08:00:00 AM +0000,Error,Pedal cyclist was knocked down.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
37,TRAFFIC ACCIDENT,26,MERU,2608,MERU CENTRAL,260805,BUURI,01/30/2011 08:00:00 AM +0000,Error,Pedestrian walking along the road,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
38,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311010,MBOGOINI,01/01/2011 08:00:00 AM +0000,Other cause,Hit and run by a motor cycle.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
39,TRAFFIC ACCIDENT,12,KERICHO,1206,KERICHO,,,01/30/2011 08:00:00 AM +0000,,,KPR,,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
41,TRAFFIC ACCIDENT,18,KITUI,1803,KITUI,180306,MUTOMO,01/01/2011 08:00:00 AM +0000,Other cause,Driver lost control of the vehicle.,KPR,,,Motor vehicle was damaged.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
